INFO 2012-03-27 00:12:00,993 oauth 9638 -1222571152 version=1.0
INFO 2012-03-27 00:12:57,580 oauth 9664 -1222239376 version=1.0
INFO 2012-03-27 00:12:57,581 oauth 9664 -1222239376 consumer_key=utf5ZCp6L8ZYY3ukkq2bRxjjwNsmm4nG
INFO 2012-03-27 00:13:12,065 oauth 9664 -1222239376 version=1.0
INFO 2012-03-27 00:13:12,066 oauth 9664 -1222239376 consumer_key=2Tk7LcRnykRdTV4PCe
INFO 2012-03-27 00:13:12,070 oauth 9664 -1222239376 version=1.0
INFO 2012-03-27 00:13:49,454 oauth 9721 -1222628496 version=1.0
INFO 2012-03-27 00:13:49,454 oauth 9721 -1222628496 consumer_key=2Tk7LcRnykRdTV4PCe
INFO 2012-03-27 00:14:41,333 oauth 9781 -1222169744 version=1.0
INFO 2012-03-27 00:14:41,334 oauth 9781 -1222169744 consumer_key=2Tk7LcRnykRdTV4PCe
INFO 2012-03-27 00:14:41,339 oauth 9781 -1222169744 consumer=tom
INFO 2012-03-27 00:14:41,339 oauth 9781 -1222169744 version=1.0
INFO 2012-03-27 00:15:34,501 oauth 9812 -1222378640 version=1.0
INFO 2012-03-27 00:15:34,502 oauth 9812 -1222378640 consumer_key=2Tk7LcRnykRdTV4PCe
INFO 2012-03-27 00:15:34,507 oauth 9812 -1222378640 consumer=tom
INFO 2012-03-27 00:15:34,507 oauth 9812 -1222378640 version=1.0
INFO 2012-03-27 00:15:56,226 oauth 9842 -1222157456 version=1.0
INFO 2012-03-27 00:15:56,227 oauth 9842 -1222157456 consumer_key=2Tk7LcRnykRdTV4PCe
INFO 2012-03-27 00:15:56,232 oauth 9842 -1222157456 consumer=tom
INFO 2012-03-27 00:15:56,233 oauth 9842 -1222157456 version=1.0
INFO 2012-03-27 00:17:24,582 oauth 9865 -1222907024 version=1.0
INFO 2012-03-27 00:17:24,583 oauth 9865 -1222907024 consumer_key=2Tk7LcRnykRdTV4PCe
INFO 2012-03-27 00:17:24,589 oauth 9865 -1222907024 consumer=tom
INFO 2012-03-27 00:17:24,590 oauth 9865 -1222907024 version=1.0
INFO 2012-03-27 00:17:54,225 oauth 9913 -1222067344 version=1.0
INFO 2012-03-27 00:17:54,226 oauth 9913 -1222067344 consumer_key=2Tk7LcRnykRdTV4PCe
INFO 2012-03-27 00:17:54,231 oauth 9913 -1222067344 consumer=tom
INFO 2012-03-27 00:17:54,232 oauth 9913 -1222067344 version=1.0
INFO 2012-03-27 00:18:37,996 oauth 9944 -1222866064 version=1.0
INFO 2012-03-27 00:18:38,002 oauth 9944 -1222866064 version=1.0
INFO 2012-03-27 00:19:40,835 oauth 9978 -1222677648 consumer_key=2Tk7LcRnykRdTV4PCe
INFO 2012-03-27 00:19:40,841 oauth 9978 -1222677648 consumer=tom
INFO 2012-03-27 00:19:40,841 oauth 9978 -1222677648 consumer_key=2Tk7LcRnykRdTV4PCe
INFO 2012-03-27 00:19:40,844 oauth 9978 -1222677648 consumer=tom
INFO 2012-03-27 00:19:41,362 oauth 9978 -1222677648 signature_method=HMAC-SHA1
INFO 2012-03-27 00:21:08,740 oauth 10011 -1222186128 consumer_key=2Tk7LcRnykRdTV4PCe
INFO 2012-03-27 00:21:08,746 oauth 10011 -1222186128 consumer=tom
INFO 2012-03-27 00:21:08,747 oauth 10011 -1222186128 verifier=
INFO 2012-03-27 00:21:08,747 oauth 10011 -1222186128 consumer_key=2Tk7LcRnykRdTV4PCe
INFO 2012-03-27 00:21:08,749 oauth 10011 -1222186128 consumer=tom
